l_spanish:

 court_position_strategist_trait:0 "[GetTrait('strategist').GetName( ROOT.Char )]"
 minister_of_war_court_position_desc:0 "If the Hidden Minister of War is a general, then the Minister of War serves as his adjunct. This Minister has little to do with the actual fighting, and is instead the eyes, ears and mouthpiece through which the Hidden Minister’s orders issue forth, and through whom the Hidden Minister receives his information."
 minister_of_the_garden_court_position:0 "Minister of the Garden"
 minister_of_the_garden_court_position_desc:0 "The Minister of the Garden oversees regional mortal concerns on behalf of the local Hidden Minister, until the Hidden Minister deems the situation severe enough to warrant his personal attention."
 yin_ambassador_court_position:0 "Yin Ambassador"
 yin_ambassador_court_position_desc:0 "The Yin Ambassador serves the local ancestor as her bridge with the local Yin World and its frightening realms."
 yang_ambassador_court_position:0 "Yang Ambassador"
 yang_ambassador_court_position_desc:0 "The Yang Ambassador is the analogue to the Yin emissary, providing a bridge to the dynamic and vibrant Yang World."
 first_oni_court_position:0 "First Oni"
 first_oni_court_position_desc:0 "First Oni is akin to a warlord, overseeing regional security, protecting it against akuma and Yomi influences and usually heading sanctioned campaigns against enemies."
 infant_devil_civilizer_court_position:0 "Infant Devil Civilizer"
 infant_devil_civilizer_court_position_desc:0 "There is a when and where for a parent’s gentle persuasion, but during the taming of wild chih-mei is not such a time. Into this role steps the Infant Devil Civilizer,the supervisor of various local Infant Devil Civilizing Societies’ efforts to reclaim wild chih-mei."

 master_rite_court_position:0 "Master of the Rite"
 master_rite_court_position_desc:1 "The $master_rite_court_position$ is responsible for the spiritual well-being of the Caern. All rituals that take place must first earn their approval."
 gatekeeper_court_position:0 "Gatekeeper"
 gatekeeper_court_position_desc:1 "The $gatekeeper_court_position$ is likely to be the first person encountered by newcomers. Collecting tribute and information from visitors, the Gatekeeper is often quite busy as the maintenance of the spiritual Moon Bridges is also under their responsibility."
 wyrm_foe_court_position:0 "Wyrm Foe"
 wyrm_foe_court_position_desc:1 "The $wyrm_foe_court_position$ is the sept fiercest warrior, not necessarily the most skilled but certainly the most eager. They serve as the sept leader second in command during offensive actions against the Wyrm's minions."
 talesinger_court_position:0 "Talesinger"
 talesinger_court_position_desc:1 "The $talesinger_court_position$ is charged with maintaining the reputation of the Caern by creating and performing tales or songs of the great deeds done by the sept's heroes. They also pass the history of the Garou to the young."
 master_challenges_court_position:0 "Master of Challenges"
 master_challenges_court_position_desc:1 "The $master_challenges_court_position$ serves as a judge for challenges taking place in the Caern. An intimidating figure, they are also expected to keep the warriors in line during times of peace."

 court_seer_court_position:0 "[SelectLocalization(GetPlayer.IsValid, 'court_seer_court_position_from_player', 'custom_court_seer')]"
 court_seer_court_position_from_player: "[GetPlayer.Custom('CourtSeer')]"
 custom_court_seer:0 "Court Seer"
 custom_court_seer_oracle:0 "Court Oracle"
 custom_court_seer_augur:0 "Court Augur"
 court_seer_court_position_desc:0 "The $court_seer_court_position$ foretells the future and determines auspicious or inauspicious days for holding official ceremonies."
